Dataset,Triangles,Preprocess_ms,Convert_ms,Kernel_ms,Total_ms
adder_dcop_30,6646,0.272192,0.337376,0.042496,.652064
bcsstk23,29737,0.284032,0.338272,0.025952,.648256
bcsstk24,703212,0.381248,0.342720,0.027840,.751808
bcsstk30,15073574,0.946784,0.588480,0.037152,1.572416
bcsstm13,54380,0.283680,0.347136,0.027872,.658688
cage14,9610982,15.486304,2.425408,1.536896,19.448608
cant,18370150,1.308416,0.642176,0.044096,1.994688
circuit_3,12508,0.286624,0.345408,0.090016,.722048
com-Youtube,3056386,2.636896,1.038336,6.671680,10.346912
consph,34125815,2.610464,0.753344,0.079936,3.443744
dawson5,1428486,0.733408,0.542592,0.044448,1.320448
delaunay_n17,263620,0.722592,0.568384,0.067360,1.358336
eu-2005,202170577,10.013344,3.576128,4.382880,17.972352
ex9,288450,0.383648,0.338368,0.028608,.750624
F1,189516446,13.671584,6.975136,0.994272,21.640992
flickr,172005468,5.044544,1.621728,58.360096,65.026368
Freescale1,7502150,7.985440,2.206976,0.751744,10.944160
g7jac020,63905,0.284800,0.343584,0.044480,.672864
g7jac140sc,3863178,0.658656,0.558816,0.352832,1.570304
Ga41As41H72,574004800,9.533504,1.492640,0.978912,12.005056
Hamrle3,81,2.339040,1.014752,0.257504,3.611296
higgs-twitter,83023401,7.585120,3.083744,79.726494,90.395358
hollywood-2009,4916374555,62.803967,11.234240,254.030304,328.068511
lpl1,97633,0.513344,0.496608,0.154720,1.164672
mac_econ_fwd500,298904,0.798368,0.622944,0.185856,1.607168
mc2depi,1048576,0.896512,0.667392,0.081696,1.645600
msc04515,169488,0.391552,0.342848,0.028800,.763200
nemeth16,4161903,0.704576,0.540128,0.027648,1.272352
net50,151640,0.729568,0.557856,0.069664,1.357088
p2p-Gnutella06,1142,0.294208,0.404544,0.072384,.771136
patents_main,97026,0.680576,0.705024,0.915072,2.300672
pcrystk03,9821374,0.870752,0.554560,0.038624,1.463936
pdb1HYS,48319315,1.539232,0.651008,0.047744,2.237984
pkustk06,12965280,1.041216,0.581024,0.060704,1.682944
pli,6162461,0.831200,0.567040,0.041184,1.439424
pwtk,56997681,5.750624,0.997056,0.067584,6.815264
road_usa,438804,30.397312,6.391296,8.190240,44.978848
shyy41,3040,0.283008,0.339328,0.024608,.646944
Si41Ge41H72,573035723,7.452800,1.247168,0.726336,9.426304
soc-Slashdot0811,551724,0.731648,0.693376,1.629472,3.054496
spaceStation_13,9149,0.294432,0.354080,0.027136,.675648
struct3,1891920,0.791200,0.565152,0.035872,1.392224
tandem_vtx,193422,0.453856,0.394016,0.045088,.892960
torso2,466426,0.725440,0.543488,0.049696,1.318624
webbase-1M,6106033,1.016256,0.722976,0.272480,2.011712
web-Google,13391903,2.050496,1.514048,21.610720,25.175264
web-NotreDame,8910005,0.848448,0.606336,0.147360,1.602144
wiki-Vote,608389,0.369952,0.390080,0.195104,.955136
