Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.028000,221.242666,221.242666,3.825903,0.000000,0,,
spaceStation_13,OK,9149,0.024000,272.663593,272.663593,2.721071,0.000000,0,,
bcsstk23,OK,29737,0.025000,224.833965,224.833965,4.669905,0.000000,0,,
bcsstm13,OK,54380,0.030000,219.413519,219.413519,2.591133,0.000000,0,,
g7jac020,OK,63905,0.041000,229.636669,229.636669,8.158684,0.000000,0,,
lpl1,OK,97633,0.088000,245.734453,245.734453,21.499395,0.000000,0,,
net50,OK,151640,0.082000,291.203976,291.203976,47.343493,0.000000,0,,
msc04515,OK,169488,0.030000,229.547024,229.547024,7.847309,0.000000,0,,
tandem_vtx,OK,193422,0.044000,231.467724,231.467724,15.817642,0.000000,0,,
delaunay_n17,OK,263620,0.127000,311.270952,311.270952,44.496536,0.000000,0,,
ex9,OK,288450,0.029000,234.357357,234.357357,7.882118,0.000000,0,,
mac_econ_fwd500,OK,298904,0.265000,301.266909,301.266909,175.435305,0.000000,0,,
torso2,OK,466426,0.134000,316.146374,316.146374,128.140688,0.000000,0,,
wiki-Vote,OK,608389,0.422000,332.331896,332.331896,16.459227,0.000000,0,,
bcsstk24,OK,703212,0.032000,228.960276,228.960276,12.067080,0.000000,0,,
mc2depi,OK,1048576,0.578000,382.760048,382.760048,257.573128,0.000000,0,,
dawson5,OK,1428486,0.098000,247.436762,247.436762,63.775778,0.000000,0,,
struct3,OK,1891920,0.105000,249.409199,249.409199,60.457706,0.000000,0,,
g7jac140sc,OK,3863178,0.135000,262.142897,262.142897,80.368042,0.000000,0,,
nemeth16,OK,4161903,0.069000,291.146755,291.146755,37.332535,0.000000,0,,
webbase-1M,OK,6106033,27.667000,7317.228556,7317.228556,377.651215,0.000000,0,,
pli,OK,6162461,0.149000,314.151764,314.151764,65.530539,0.000000,0,,
Freescale1,OK,7502150,2.718000,996.180773,996.180773,2664.722681,0.000000,0,,
web-NotreDame,OK,8910005,57.140000,14856.077671,14856.077671,169.506550,0.000000,0,,
cage14,OK,9610982,2.231000,883.903980,883.903980,3609.060526,0.000000,0,,
pcrystk03,OK,9821374,0.179000,284.701586,284.701586,84.302902,0.000000,0,,
pkustk06,OK,12965280,0.232000,280.442476,280.442476,119.982719,0.000000,0,,
bcsstk30,OK,15073574,0.213000,285.188198,285.188198,93.905449,0.000000,0,,
cant,OK,18370150,0.376000,326.659679,326.659679,224.279404,0.000000,0,,
consph,OK,34125815,0.568000,390.064001,390.064001,333.479404,0.000000,0,,
pdb1HYS,OK,48319315,0.546000,362.503290,362.503290,238.624096,0.000000,0,,
pwtk,OK,56997681,0.946000,486.265898,486.265898,711.548567,0.000000,0,,
F1,OK,189516446,2.997000,1046.175957,1046.175957,1586.244345,0.000000,0,,
eu-2005,OK,202170577,1997.402000,511658.393145,511658.393145,2242.024899,0.000000,0,,
Si41Ge41H72,OK,573035723,6.105000,1823.685169,1823.685169,857.655048,0.000000,0,,
Ga41As41H72,OK,574004800,5.942000,1777.855873,1777.855873,1045.510054,0.000000,0,,
