Dataset,Triangles,Kernel_ms,Preprocess_ms,Blocks,E2E_ms
bcsstk23,29737,0.0203,0.4461,804,1.195168
bcsstk24,703212,0.0127,0.5441,862,1.520768
bcsstk30,15073574,0.0332,2.2527,10708,2.906336
bcsstm13,54380,0.0197,0.3999,196,0.795328
cage14,9610982,0.8690,23.6380,1282731,63.464195
cant,18370150,0.0306,1.2381,10939,2.059008
com-Youtube,3056386,3.8783,3.7195,1722416,8.986815
consph,34125815,0.0534,1.5441,21595,2.480576
dawson5,1428486,0.0352,0.9122,15379,1.529632
delaunay_n17,263620,0.0410,0.7685,47047,1.450848
eu-2005,202170577,2.6645,6.6080,681724,15.865439
ex9,288450,0.0231,0.3908,672,1.018272
F1,189516446,0.8613,7.9195,458197,12.113279
flickr,172005468,34.2550,2.2447,3396718,38.710369
Freescale1,7502150,0.4847,4.8060,912593,6.896544
g7jac020,63905,0.0454,0.3706,4666,0.781376
g7jac140sc,3863178,0.2588,0.7438,89396,1.668672
Ga41As41H72,574004800,0.7802,5.0441,245733,7.644800
higgs-twitter,83023401,37.0968,4.3609,4762487,48.429024
hollywood-2009,4916374555,167.2687,37.1063,6310527,223.276031
lpl1,97633,0.1059,0.5895,24963,1.129920
mac_econ_fwd500,298904,0.1160,0.8956,146691,6.702944
mc2depi,1048576,0.0615,0.8527,98141,1.621056
msc04515,169488,0.0189,0.3802,910,0.763424
nemeth16,4161903,0.0176,0.7036,1499,1.293952
net50,151640,0.0513,0.7453,29050,1.395904
pcrystk03,9821374,0.0292,1.8285,11358,2.461120
pdb1HYS,48319315,0.0391,1.0836,16938,1.824800
pkustk06,12965280,0.0591,0.9042,28075,1.605088
pli,6162461,0.0348,0.7975,12275,1.434016
pwtk,56997681,0.0590,2.7197,34404,3.937920
road_usa,438804,4.6528,17.4648,9812324,29.886559
shyy41,3040,0.0179,0.7843,732,1.160544
Si41Ge41H72,573035723,0.6004,3.8364,160378,5.914784
soc-Slashdot0811,551724,0.9161,0.8735,271575,2.678048
spaceStation_13,9149,0.0196,0.3626,591,0.751136
struct3,1891920,0.0235,0.7583,11640,1.375456
tandem_vtx,193422,0.0371,0.5199,13267,0.997536
torso2,466426,0.0344,0.7771,28284,1.404128
webbase-1M,6106033,0.1660,1.1373,255480,2.107584
web-Google,13391903,13.0275,1.7777,4281662,16.986208
web-NotreDame,8910005,0.0920,0.8412,103920,2.570400
wiki-Vote,608389,0.1583,0.4679,27661,1.133888
