Dataset,Triangles,Kernel_ms,Preprocess_ms,Reorder_ms,Blocks,E2E_ms
bcsstk23,29737,0.0483,1.5124,0,4006,1.952704
bcsstk24,703212,0.0255,2.1836,0,1487,2.584864
bcsstk30,15073574,0.0484,3.4186,0,21148,4.080704
bcsstm13,54380,0.0254,1.5216,0,347,1.912480
cage14,9610982,8.9308,14.0228,0,5999819,27.726879
cant,18370150,0.1707,3.2625,0,45076,4.284384
com-Youtube,3056386,2.9455,15.1009,0,1900752,19.544735
consph,34125815,0.1453,3.6782,0,48315,4.713568
dawson5,1428486,0.0718,2.6547,0,45664,3.326976
delaunay_n17,263620,0.0929,3.2923,0,115788,4.036448
eu-2005,202170577,2.7012,60.6784,0,1566714,67.949379
ex9,288450,0.0320,1.6126,0,1809,2.013312
F1,189516446,0.4828,13.7068,0,293369,16.925632
flickr,172005468,13.4944,12.6235,0,2541519,28.225248
Freescale1,7502150,0.9215,11.5970,0,1901718,14.548639
g7jac020,63905,0.0382,1.8155,0,8260,2.219392
g7jac140sc,3863178,0.0757,2.6837,0,68593,3.456224
Ga41As41H72,574004800,4.2764,10.1303,0,1325775,17.320768
higgs-twitter,83023401,31.1366,43.1323,0,3923248,80.939011
hollywood-2009,4916374555,147.7260,76.8245,0,9051559,243.144806
lpl1,97633,0.0683,2.2568,0,56036,2.756640
mac_econ_fwd500,298904,0.4840,3.5970,0,478529,4.952192
mc2depi,1048576,0.1722,3.9650,0,297929,4.985472
msc04515,169488,0.0270,1.5827,0,2208,1.968256
nemeth16,4161903,0.0422,2.4319,0,5789,3.055200
net50,151640,0.2122,3.2809,0,59356,7.964576
pcrystk03,9821374,0.0554,2.6723,0,20902,3.338592
pdb1HYS,48319315,0.0951,3.2057,0,42599,4.061024
pkustk06,12965280,0.0457,2.7735,0,22952,3.435328
pli,6162461,0.1059,6.1167,0,40552,7.478688
pwtk,56997681,0.1004,6.2934,0,69257,7.519584
road_usa,438804,8.0695,73.8500,0,16587512,97.130783
shyy41,3040,0.0218,1.4462,0,1723,1.820704
Si41Ge41H72,573035723,2.8167,8.2424,0,861589,13.340256
soc-Slashdot0811,551724,0.7068,3.4814,0,264965,4.962944
spaceStation_13,9149,0.0374,1.5382,0,1675,1.947168
struct3,1891920,0.0515,2.4880,0,25528,3.122624
tandem_vtx,193422,0.0636,2.0778,0,25950,2.621984
torso2,466426,0.0605,2.5247,0,59726,3.208448
webbase-1M,6106033,0.3454,14.1252,0,635090,15.458720
web-Google,13391903,0.5644,8.5654,0,951505,10.330561
web-NotreDame,8910005,0.1550,7.0924,0,264383,8.017568
wiki-Vote,608389,0.0695,2.3915,0,16028,2.934144
