dataset,block_type,tau,kernel_ms,triangles,correct
wiki-Vote,32,0,0.067200,608389,true
wiki-Vote,32,8,0.048704,608389,true
wiki-Vote,32,16,0.049152,608389,true
wiki-Vote,32,32,0.055520,608389,true
wiki-Vote,32,48,0.055424,608389,true
wiki-Vote,32,64,0.055648,608389,true
wiki-Vote,32,96,0.055392,608389,true
wiki-Vote,32,128,0.055008,608389,true
wiki-Vote,32,256,0.054496,608389,true
wiki-Vote,32,512,0.055456,608389,true
g7jac140sc,32,0,0.100608,3863178,true
g7jac140sc,32,8,0.063712,3863178,true
g7jac140sc,32,16,0.063744,3863178,true
g7jac140sc,32,32,0.063104,3863178,true
g7jac140sc,32,48,0.063296,3863178,true
g7jac140sc,32,64,0.062752,3863178,true
g7jac140sc,32,96,0.062624,3863178,true
g7jac140sc,32,128,0.062720,3863178,true
g7jac140sc,32,256,0.063552,3863178,true
g7jac140sc,32,512,0.062720,3863178,true
consph,32,0,0.055584,34125815,true
consph,32,8,0.051584,34125815,true
consph,32,16,0.047488,34125815,true
consph,32,32,0.046400,34125815,true
consph,32,48,0.043840,34125815,true
consph,32,64,0.046400,34125815,true
consph,32,96,0.047712,34125815,true
consph,32,128,0.046784,34125815,true
consph,32,256,0.049120,34125815,true
consph,32,512,0.049216,34125815,true
cant,32,0,0.127392,18370150,true
cant,32,8,0.108128,18370150,true
cant,32,16,0.106880,18370150,true
cant,32,32,0.103936,18370150,true
cant,32,48,0.104832,18370150,true
cant,32,64,0.106752,18370150,true
cant,32,96,0.104704,18370150,true
cant,32,128,0.104480,18370150,true
cant,32,256,0.106112,18370150,true
cant,32,512,0.105952,18370150,true
pwtk,32,0,0.088320,56997681,true
pwtk,32,8,0.085792,56997681,true
pwtk,32,16,0.084256,56997681,true
pwtk,32,32,0.087360,56997681,true
pwtk,32,48,0.081888,56997681,true
pwtk,32,64,0.079520,56997681,true
pwtk,32,96,0.073344,56997681,true
pwtk,32,128,0.071712,56997681,true
pwtk,32,256,0.074048,56997681,true
pwtk,32,512,0.071296,56997681,true
F1,32,0,0.516384,189516446,true
F1,32,8,0.483520,189516446,true
F1,32,16,0.443200,189516446,true
F1,32,32,0.413792,189516446,true
F1,32,48,0.401024,189516446,true
F1,32,64,0.398752,189516446,true
F1,32,96,0.401792,189516446,true
F1,32,128,0.406624,189516446,true
F1,32,256,0.415360,189516446,true
F1,32,512,0.413728,189516446,true
eu-2005,32,0,4.051840,202170577,true
eu-2005,32,8,3.488256,202170577,true
eu-2005,32,16,3.419072,202170577,true
eu-2005,32,32,3.439936,202170577,true
eu-2005,32,48,3.431744,202170577,true
eu-2005,32,64,3.464576,202170577,true
eu-2005,32,96,4.333344,202170577,true
eu-2005,32,128,4.294656,202170577,true
eu-2005,32,256,4.763296,202170577,true
eu-2005,32,512,4.788288,202170577,true
Ga41As41H72,32,0,6.677984,574004800,true
Ga41As41H72,32,8,4.116864,574004800,true
Ga41As41H72,32,16,4.105024,574004800,true
Ga41As41H72,32,32,4.096448,574004800,true
Ga41As41H72,32,48,4.098656,574004800,true
Ga41As41H72,32,64,4.099104,574004800,true
Ga41As41H72,32,96,4.109760,574004800,true
Ga41As41H72,32,128,4.104640,574004800,true
Ga41As41H72,32,256,4.102848,574004800,true
Ga41As41H72,32,512,4.113344,574004800,true
